Close/Last,Volume,Open,High,Low,Date
477.58,7722034,491.13,491.90,472.02,105
480.45,7746247,468.77,487.17,467.54,106
495.65,7863069,484.51,496.92,482.31,107
488.51,5986727,496.02,497.79,487.76,108
484.48,6611769,492.25,494.92,484.13,109
485.80,6608569,480.71,488.35,477.51,110
488.88,5924310,488.29,494.80,484.50,111
498.62,5876190,490.86,503.09,490.23,112
509.64,5607968,498.65,510.44,498.65,113
502.11,4313526,508.68,510.10,501.20,114
509.08,3725861,504.11,510.82,498.70,115
494.73,5910348,505.45,508.29,486.68,116
483.38,4691185,493.35,497.46,478.63,117
466.93,7329226,479.75,480.92,466.55,118
475.47,5441243,471.34,482.49,470.18,119
481.33,3008933,478.40,484.45,476.45,120
482.68,2943487,482.82,488.33,480.21,121
482.35,2423545,484.19,486.24,479.10,122
491.87,3505518,484.35,495.30,482.80,123
484.53,3156218,493.93,494.50,483.50,124
497.90,5132480,484.69,498.94,483.89,125
492.31,3921293,496.46,498.13,490.00,126
488.81,4762183,495.44,501.00,483.16,127
490.58,5727721,488.19,492.47,485.09,128
547.53,20373680,492.50,549.04,492.08,129
526.27,9062912,537.78,541.00,521.25,130
523.89,4417517,532.00,539.00,522.00,131
529.56,4941409,521.16,531.99,517.58,132
556.55,9581907,532.60,557.39,532.45,133
552.84,5886930,553.78,556.50,537.37,134
525.75,9071089,545.00,554.00,521.32,135
516.05,8270118,520.18,527.36,485.98,136
507.02,5572684,498.40,522.00,495.00,137
500.19,6848127,519.21,520.00,492.57,138
480.67,6240181,503.35,506.29,478.84,139
482.03,5035200,486.49,493.73,476.81,140
476.26,7359126,480.62,488.99,471.30,141
495.99,5336992,484.00,497.47,481.63,142
483.86,4401412,499.99,504.66,483.31,143
470.20,5379301,475.16,478.40,463.27,144
469.96,6717711,472.51,479.40,458.60,145
487.35,5457539,467.69,487.78,466.32,146
491.17,3482324,489.01,491.82,479.26,147
470.61,3726423,491.04,491.04,469.00,148
473.08,3727201,470.53,477.00,467.82,149
482.88,3769436,474.39,484.87,468.03,150
490.65,4773497,489.11,492.00,477.88,151
