Close/Last,Volume,Open,High,Low,Day
371.40,5818348,359.70,373.31,354.88,736
357.53,6982469,348.20,359.99,343.06,737
343.75,5460640,335.10,345.36,332.36,738
331.01,5907817,338.72,341.32,329.82,739
340.32,4819925,361.19,363.36,340.00,740
356.77,4807767,356.20,367.02,353.30,741
358.79,6520186,357.69,364.14,350.51,742
341.76,6428655,349.80,358.86,340.67,743
350.26,5708383,360.41,362.00,350.20,744
361.73,5329180,368.00,374.82,357.17,745
368.07,6076836,386.00,386.12,364.65,746
380.03,5356809,388.93,389.22,375.21,747
386.24,3290439,391.60,395.00,383.71,748
394.52,5035046,387.33,397.75,382.13,749
390.80,4841636,386.61,391.29,375.58,750
390.03,7068724,355.09,390.73,354.72,751
367.46,4614290,382.72,386.00,366.66,752
377.38,6697515,388.95,392.42,373.02,753
391.29,6801668,392.53,402.87,389.05,754
386.67,4669222,394.24,399.11,385.70,755
398.08,5277650,401.53,401.56,390.38,756
407.46,5395641,403.79,409.16,401.01,757
396.57,7202155,387.59,409.36,386.89,758
391.31,7558939,405.33,411.61,387.65,759
406.27,8452915,402.10,408.00,396.36,760
412.89,7738227,408.65,412.98,398.79,761
403.53,6818543,398.18,406.61,395.83,762
402.10,8232859,410.17,412.35,393.55,763
410.17,7789798,407.31,412.77,396.64,764
405.60,9905210,421.44,429.26,404.28,765
429.48,14346010,448.25,451.98,426.48,766
457.13,22568100,432.96,458.48,425.54,767
427.14,20047450,401.97,427.70,398.20,768
384.36,11966610,386.76,387.00,372.08,769
386.70,24324750,382.06,394.80,378.10,770
359.70,12683980,378.27,382.66,356.62,771
366.42,15145820,379.14,387.71,365.13,772
387.15,32386780,383.91,387.26,351.46,773
397.50,58904270,400.43,409.15,379.99,774
508.25,12658990,517.75,526.64,506.93,775
515.86,4353508,515.00,523.21,510.51,776
510.80,4844418,520.08,521.75,508.68,777
525.69,7861109,517.60,538.37,511.88,778
519.20,4475063,537.06,540.79,518.26,779
537.22,3787372,544.27,544.27,532.02,780
540.84,3077836,536.99,543.91,530.07,781
539.85,4486145,538.49,543.69,526.32,782
541.06,3382873,549.46,553.43,538.22,783
553.29,5711795,554.34,563.36,542.01,784
567.52,4148749,592.00,592.84,566.88,785
591.15,4393135,599.91,600.41,581.60,786
597.37,3068808,605.61,609.99,590.56,787
602.44,1995918,610.01,614.08,602.05,788
612.09,1625093,612.99,620.61,611.24,789
610.54,1287513,610.71,613.98,604.68,790
610.71,1884116,614.95,618.41,609.69,791
613.12,2062233,615.00,615.00,609.25,792
614.09,1621146,616.40,616.88,607.57,793
614.24,2335745,603.36,614.82,602.63,794
604.92,2319390,597.54,607.82,593.86,795
593.74,3358404,586.43,602.88,584.26,796
586.73,4433706,591.61,593.25,581.74,797
591.06,3143217,597.09,602.83,588.00,798
605.04,2866196,598.18,605.69,584.51,799
597.99,2984536,598.71,602.29,588.13,800
604.56,2517915,612.00,612.64,599.52,801
611.66,2748774,616.78,617.74,605.88,802
611.00,2376321,627.58,630.24,610.44,803
628.08,2220308,630.00,632.46,623.20,804
625.58,3125190,619.83,628.89,611.40,805
612.69,3075672,606.01,617.29,601.00,806
602.13,4829282,622.75,625.50,594.00,807
616.47,3331131,617.10,625.36,612.88,808
617.77,3897019,649.48,654.52,617.07,809
641.90,5608919,668.20,675.38,640.01,810
663.84,2529364,663.20,667.99,658.29,811
665.64,2872513,675.00,676.41,660.67,812
658.29,1867282,658.01,661.44,651.10,813
654.06,2320917,658.18,666.43,646.05,814
659.20,2765318,676.02,679.48,656.47,815
678.80,2614852,692.35,694.16,675.00,816
682.02,2014992,691.61,691.74,679.74,817
691.69,2732831,690.00,700.99,686.09,818
687.40,2077387,678.27,688.36,676.90,819
679.33,2872186,681.24,685.26,671.49,820
682.61,4198410,660.01,683.34,653.82,821
657.58,2868311,650.24,665.82,649.71,822
646.91,2405785,653.01,660.33,642.11,823
655.99,2415630,653.70,660.50,650.52,824
651.45,2887523,650.29,656.00,643.79,825
645.72,5283488,663.97,665.64,645.01,826
668.40,4865023,685.89,685.94,665.50,827
688.29,2334852,677.27,689.39,677.27,828
677.72,3888597,683.11,687.68,673.82,829
681.17,3110911,689.06,689.97,676.54,830
690.31,3825279,673.06,690.97,671.24,831
674.05,2859409,670.95,676.80,668.03,832
662.92,2276914,669.00,671.41,661.85,833
668.52,2904840,673.76,676.49,662.77,834
671.66,3833526,663.74,675.88,657.07,835
664.78,6186016,651.81,665.46,651.81,836
653.16,8437070,628.89,654.01,628.65,837
625.14,10622000,625.57,637.40,617.15,838
639.00,7633147,636.97,641.00,632.30,839
637.97,4669071,632.10,638.41,620.59,840
628.29,4116874,638.00,639.42,625.16,841
633.80,2672535,632.23,636.88,626.79,842
629.76,2424638,632.18,632.18,622.10,843
624.94,3227349,633.02,637.66,621.99,844
627.04,2862470,633.20,639.42,626.78,845
632.66,3272093,634.17,643.80,630.86,846
631.85,3556886,642.23,646.84,630.45,847
639.10,4580434,628.18,639.87,626.36,848
634.81,9534293,606.94,640.39,606.89,849
603.35,4995932,613.39,626.13,594.68,850
613.15,4090847,604.24,614.99,597.51,851
610.34,6616040,608.05,619.00,608.05,852
599.06,6221026,589.01,609.88,588.01,853
583.85,4431051,589.00,599.54,580.16,854
592.64,2504738,587.95,593.58,576.93,855
592.39,2126246,592.50,592.98,583.64,856
593.26,2526161,590.79,599.32,589.13,857
590.65,4021845,579.69,595.65,579.69,858
573.14,2250884,578.31,581.88,569.37,859
575.43,3732227,586.79,591.53,568.08,860
589.35,4145145,587.85,590.28,580.85,861
586.50,1832028,584.30,587.48,577.72,862
582.87,2755615,578.17,584.62,575.37,863
577.76,3456958,584.89,587.28,575.56,864
589.29,3062871,598.57,598.57,582.78,865
598.72,3950764,598.16,609.45,593.67,866
597.54,2954214,606.47,609.44,596.55,867
606.05,5424503,603.84,615.60,595.71,868
606.71,5830979,594.69,613.85,593.99,869
590.53,2684005,585.80,591.88,583.14,870
588.55,6184782,583.68,598.76,583.68,871
582.07,5626214,569.00,591.00,569.00,872
569.19,2431886,566.12,569.48,561.61,873
566.18,2434839,557.25,567.16,556.45,874
558.92,3252595,551.60,564.17,549.25,875
550.12,1595499,546.16,552.60,545.90,876
547.58,2065621,550.16,552.84,545.45,877
553.41,2109525,551.48,555.31,549.27,878
553.33,2602010,545.98,555.55,543.74,879
546.88,3776429,545.09,551.39,539.10,880
543.71,7497292,522.74,548.39,521.87,881
521.87,2582046,520.00,526.38,518.65,882
518.91,2309803,515.47,520.79,514.20,883
517.92,2033176,515.24,523.38,512.30,884
515.92,2177736,512.64,521.44,511.51,885
510.72,1686170,511.86,513.00,507.20,886
512.40,1673904,517.00,519.57,509.77,887
515.84,1960544,520.00,520.79,512.97,888
519.97,1367782,521.15,522.67,517.99,889
520.55,1919798,524.00,526.84,519.39,890
524.89,2556687,517.13,525.41,514.02,891
517.35,2039374,513.00,517.98,510.37,892
510.82,2579427,514.39,515.63,505.37,893
515.15,2096632,519.00,519.85,510.51,894
517.57,2537107,512.69,519.79,510.96,895
514.25,1736014,519.96,520.78,513.79,896
